start_date,end_date,speciesManagement,port,pounds,value
012001,122001,Nearshore Fishery Management Plan Species,Crescent City,8749.2,$30859.005
012001,122001,Salmon,Crescent City,12700.0,$24122.35
012002,122002,Highly Migratory Species (HMS),Crescent City,233682.55,$232735.18
012002,122002,Groundfish,Crescent City,3094911.62,$2051745.287
012002,122002,Marine State Managed Fish,Crescent City,52910.46,$17945.925
012002,122002,Marine State Managed Invertebrates,Crescent City,2891439.8,$3086030.0475
012002,122002,Nearshore Fishery Management Plan Species,Crescent City,7592.45,$28319.0105
012002,122002,Salmon,Crescent City,54994.85,$109530.925
012003,122003,Groundfish,Crescent City,2228340.7,$1693106.2375
012003,122003,Highly Migratory Species (HMS),Crescent City,223484.15,$165215.705
012003,122003,Marine State Managed Fish,Crescent City,159732.0,$62636.81
012003,122003,Marine State Managed Invertebrates,Crescent City,9663634.3,$14799035.6495
012003,122003,Nearshore Fishery Management Plan Species,Crescent City,5831.7,$25280.875
012003,122003,Salmon,Crescent City,39045.0,$97264.1
012004,122004,Coastal Pelagic Species (CPS),Crescent City,-1.0,$-1.0
012004,122004,Groundfish,Crescent City,4791743.65,$1047999.95
012004,122004,Highly Migratory Species (HMS),Crescent City,393183.9,$298171.6415
012004,122004,Marine State Managed Fish,Crescent City,13421.26,$5046.325
012004,122004,Marine State Managed Invertebrates,Crescent City,11501309.2,$17902490.475
012004,122004,Nearshore Fishery Management Plan Species,Crescent City,6394.0,$24053.43
012004,122004,Salmon,Crescent City,306643.7,$928142.82
012005,122005,Groundfish,Crescent City,3449771.6,$1346804.995
012005,122005,Highly Migratory Species (HMS),Crescent City,228317.25,$212266.6325
012005,122005,Marine State Managed Fish,Crescent City,5856.6,$2218.6
012005,122005,Marine State Managed Invertebrates,Crescent City,3286180.0,$4751235.21
012005,122005,Nearshore Fishery Management Plan Species,Crescent City,7371.0,$24309.375
012005,122005,Salmon,Crescent City,25044.6,$71046.15
012006,122006,Coastal Pelagic Species (CPS),Crescent City,-1.0,$-1.0
012006,122006,Groundfish,Crescent City,4711944.93,$1641980.805
012006,122006,Highly Migratory Species (HMS),Crescent City,134615.0,$113226.575
012006,122006,Marine State Managed Fish,Crescent City,4054.2,$1803.14
012006,122006,Nearshore Fishery Management Plan Species,Crescent City,6263.25,$23072.2175
012006,122006,Marine State Managed Invertebrates,Crescent City,12924903.53,$20911737.855
012006,122006,Salmon,Crescent City,-1.0,$-1.0
012007,122007,Groundfish,Crescent City,3610296.57,$1716835.0245
012007,122007,Highly Migratory Species (HMS),Crescent City,257220.5,$210855.125
012007,122007,Marine State Managed Fish,Crescent City,17350.1,$6584.75
012007,122007,Marine State Managed Invertebrates,Crescent City,4601817.25,$10305394.1325
012007,122007,Nearshore Fishery Management Plan Species,Crescent City,7051.67,$26429.6475
012007,122007,Salmon,Crescent City,34383.0,$187188.45
012008,122008,Groundfish,Crescent City,9441088.5,$2532046.878
012008,122008,Highly Migratory Species (HMS),Crescent City,165835.0,$161198.97
012008,122008,Marine State Managed Invertebrates,Crescent City,3951987.99,$6565249.008
012008,122008,Marine State Managed Fish,Crescent City,34397.1,$13083.5
012008,122008,Nearshore Fishery Management Plan Species,Crescent City,5998.5,$21662.941
012008,122008,Salmon,Crescent City,785.0,$0.0
012009,122009,Groundfish,Crescent City,5860423.01,$2370979.985
012009,122009,Highly Migratory Species (HMS),Crescent City,220472.65,$205983.525
012009,122009,Marine State Managed Fish,Crescent City,24701.2,$11988.8
012009,122009,Marine State Managed Invertebrates,Crescent City,9893802.19,$14992775.546
012009,122009,Nearshore Fishery Management Plan Species,Crescent City,4568.5,$17384.2
012009,122009,Salmon,Crescent City,-1.0,$-1.0
012010,122010,Coastal Pelagic Species (CPS),Crescent City,-1.0,$-1.0
012010,122010,Groundfish,Crescent City,6048825.25,$1227076.0275
012010,122010,Highly Migratory Species (HMS),Crescent City,297843.83,$299137.245
012010,122010,Marine State Managed Fish,Crescent City,10815.0,$4257.45
012010,122010,Marine State Managed Invertebrates,Crescent City,6932345.75,$9011897.5025
012010,122010,Nearshore Fishery Management Plan Species,Crescent City,4237.5,$16260.35
012010,122010,Salmon,Crescent City,1042.25,$0.0
012011,122011,Groundfish,Crescent City,836536.0,$859447.326
012011,122011,Highly Migratory Species (HMS),Crescent City,244948.0,$335367.99
012011,122011,Marine State Managed Fish,Crescent City,44032.5,$12505.025
012011,122011,Marine State Managed Invertebrates,Crescent City,6378454.64,$7206496.7754
012011,122011,Nearshore Fishery Management Plan Species,Crescent City,5231.5,$19030.05
012011,122011,Salmon,Crescent City,8288.0,$40041.0
012012,122012,Groundfish,Crescent City,384454.0,$542233.5823
012012,122012,Highly Migratory Species (HMS),Crescent City,14896.4,$22572.2
012012,122012,Marine State Managed Fish,Crescent City,110573.0,$61944.75
012012,122012,Nearshore Fishery Management Plan Species,Crescent City,4818.5,$19699.6
012012,122012,Marine State Managed Invertebrates,Crescent City,12321616.76,$27603381.9706
012012,122012,Salmon,Crescent City,4691.0,$23658.75
012013,122013,Highly Migratory Species (HMS),Crescent City,129804.0,$164199.5
012013,122013,Groundfish,Crescent City,290943.8,$367947.7301
012013,122013,Marine State Managed Fish,Crescent City,11676.0,$6488.25
012013,122013,Nearshore Fishery Management Plan Species,Crescent City,3673.0,$16542.75
012013,122013,Marine State Managed Invertebrates,Crescent City,17756162.13,$33641511.7914
012013,122013,Salmon,Crescent City,24213.5,$139106.6
012014,122014,Highly Migratory Species (HMS),Crescent City,122935.45,$154330.75
012014,122014,Groundfish,Crescent City,499358.74,$527736.7003
012014,122014,Marine State Managed Fish,Crescent City,36201.0,$18958.3
012014,122014,Marine State Managed Invertebrates,Crescent City,8679897.22,$12373485.07
012014,122014,Nearshore Fishery Management Plan Species,Crescent City,2761.0,$11703.75
012014,122014,Salmon,Crescent City,26864.7,$136087.8
012015,122015,Groundfish,Crescent City,347509.16,$714616.7875
012015,122015,Highly Migratory Species (HMS),Crescent City,51662.05,$81413.149
012015,122015,Marine State Managed Invertebrates,Crescent City,6606216.68,$5666418.426
012015,122015,Marine State Managed Fish,Crescent City,9454.0,$5340.9
012015,122015,Nearshore Fishery Management Plan Species,Crescent City,3780.09,$17112.9725
012015,122015,Salmon,Crescent City,5809.46,$34052.1675
012016,122016,Groundfish,Crescent City,854222.15,$935246.11
012016,122016,Highly Migratory Species (HMS),Crescent City,31609.4,$58566.06
012016,122016,Nearshore Fishery Management Plan Species,Crescent City,2505.7,$12282.15
012016,122016,Salmon,Crescent City,-1.0,$-1.0
012016,122016,Marine State Managed Fish,Crescent City,8839.36,$5322.885
012016,122016,Marine State Managed Invertebrates,Crescent City,8600610.3,$22065975.56
012017,122017,Marine State Managed Fish,Crescent City,1028.0,$703.65
012017,122017,Groundfish,Crescent City,781593.8,$1104529.952
012017,122017,Highly Migratory Species (HMS),Crescent City,82205.2,$160892.24
012017,122017,Marine State Managed Invertebrates,Crescent City,4240665.29,$6163206.6866
012017,122017,Nearshore Fishery Management Plan Species,Crescent City,2576.6,$11666.87
012018,122018,Coastal Pelagic Species (CPS),Crescent City,-1.0,$-1.0
012018,122018,Groundfish,Crescent City,199801.95,$482588.055
012018,122018,Highly Migratory Species (HMS),Crescent City,103277.7,$140432.65
012018,122018,Marine State Managed Fish,Crescent City,208188.3,$167154.45
012018,122018,Marine State Managed Invertebrates,Crescent City,12043876.46,$27086488.2137
012018,122018,Nearshore Fishery Management Plan Species,Crescent City,3348.75,$15203.475
012018,122018,Salmon,Crescent City,42127.25,$354141.425
012019,122019,Coastal Pelagic Species (CPS),Crescent City,-1.0,$-1.0
012019,122019,Highly Migratory Species (HMS),Crescent City,187956.5,$115246.84
012019,122019,Groundfish,Crescent City,245936.25,$509452.73
012019,122019,Marine State Managed Fish,Crescent City,-1.0,$-1.0
012019,122019,Marine State Managed Invertebrates,Crescent City,7725970.12,$21270773.1788
012019,122019,Nearshore Fishery Management Plan Species,Crescent City,4570.0,$20059.5
012019,122019,Salmon,Crescent City,38736.0,$226545.05
012020,122020,Groundfish,Crescent City,177419.35,$348023.045
012020,122020,Highly Migratory Species (HMS),Crescent City,-1.0,$-1.0
012020,122020,Inland State Managed Species,Crescent City,-1.0,$-1.0
012020,122020,Marine State Managed Fish,Crescent City,-1.0,$-1.0
012020,122020,Nearshore Fishery Management Plan Species,Crescent City,-1.0,$-1.0
012020,122020,Marine State Managed Invertebrates,Crescent City,3528919.8,$10194878.7898
012021,122021,Groundfish,Crescent City,222612.95,$418102.8082
012021,122021,Highly Migratory Species (HMS),Crescent City,47471.0,$103970.6
012021,122021,Marine State Managed Fish,Crescent City,-1.0,$-1.0
